"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value","Rule Name","Rule Type","Rule Description","Estimated Speedup Type","Estimated Speedup"
"0","237635","a.out","127.0.0.1","calc_physical_quantities_calc_quantities_t_3d_100","1","7","(32, 4, 2)","(17, 129, 257)","0","9.0","Memory Workload Analysis","L1/TEX Hit Rate","%","4.30",
"0","237635","a.out","127.0.0.1","calc_physical_quantities_calc_quantities_t_3d_100","1","7","(32, 4, 2)","(17, 129, 257)","0","9.0","Memory Workload Analysis","L2 Persisting Size","","11796480",
"0","237635","a.out","127.0.0.1","calc_physical_quantities_calc_quantities_t_3d_100","1","7","(32, 4, 2)","(17, 129, 257)","0","9.0","Memory Workload Analysis","L2 Compression Success Rate","%","0",
"0","237635","a.out","127.0.0.1","calc_physical_quantities_calc_quantities_t_3d_100","1","7","(32, 4, 2)","(17, 129, 257)","0","9.0","Memory Workload Analysis","L2 Compression Ratio","%","0",
"0","237635","a.out","127.0.0.1","calc_physical_quantities_calc_quantities_t_3d_100","1","7","(32, 4, 2)","(17, 129, 257)","0","9.0","Memory Workload Analysis","L2 Compression Input Sectors","sector","259610900",
"0","237635","a.out","127.0.0.1","calc_physical_quantities_calc_quantities_t_3d_100","1","7","(32, 4, 2)","(17, 129, 257)","0","9.0","Memory Workload Analysis","L2 Hit Rate","%","61.78",
"0","237635","a.out","127.0.0.1","calc_physical_quantities_calc_quantities_t_3d_100","1","7","(32, 4, 2)","(17, 129, 257)","0","9.0","Memory Workload Analysis","Mem Pipes Busy","%","8.17",
"0","237635","a.out","127.0.0.1","calc_physical_quantities_calc_quantities_t_3d_100","1","7","(32, 4, 2)","(17, 129, 257)","0","9.0","MemoryWorkloadAnalysis_Chart","","","","MemoryL2Compression","OPT","Out of the 8307548800.0 bytes sent to the L2 Compression unit only 0.00% were successfully compressed. To increase this success rate, consider marking only those memory regions as compressible that contain the most zero values and/or expose the most homogeneous values.","global","21.58"
"0","237635","a.out","127.0.0.1","calc_physical_quantities_calc_quantities_t_3d_100","1","7","(32, 4, 2)","(17, 129, 257)","0","9.0","MemoryWorkloadAnalysis_Tables","","","","MemoryCacheAccessPattern","OPT","The memory access pattern for global loads from L2 might not be optimal. On average, only 29.1 of the 32 bytes transmitted per sector are utilized by each thread. This applies to the 91.7% of sectors missed in L1TEX. This could possibly be caused by a stride between threads. Check the Source Counters section for uncoalesced global loads.","global","6.647"
"0","237635","a.out","127.0.0.1","calc_physical_quantities_calc_quantities_t_3d_100","1","7","(32, 4, 2)","(17, 129, 257)","0","9.0","MemoryWorkloadAnalysis_Tables","","","","MemoryCacheAccessPattern","OPT","The memory access pattern for global stores to L2 might not be optimal. On average, only 29.1 of the 32 bytes transmitted per sector are utilized by each thread. This applies to the 99.2% of sectors missed in L1TEX. This could possibly be caused by a stride between threads. Check the Source Counters section for uncoalesced global stores.","global","7.199"
"0","237635","a.out","127.0.0.1","calc_physical_quantities_calc_quantities_t_3d_100","1","7","(32, 4, 2)","(17, 129, 257)","0","9.0","Scheduler Statistics","One or More Eligible","%","29.75",
"0","237635","a.out","127.0.0.1","calc_physical_quantities_calc_quantities_t_3d_100","1","7","(32, 4, 2)","(17, 129, 257)","0","9.0","Scheduler Statistics","Issued Warp Per Scheduler","","0.30",
"0","237635","a.out","127.0.0.1","calc_physical_quantities_calc_quantities_t_3d_100","1","7","(32, 4, 2)","(17, 129, 257)","0","9.0","Scheduler Statistics","No Eligible","%","70.25",
"0","237635","a.out","127.0.0.1","calc_physical_quantities_calc_quantities_t_3d_100","1","7","(32, 4, 2)","(17, 129, 257)","0","9.0","Scheduler Statistics","Active Warps Per Scheduler","warp","9.46",
"0","237635","a.out","127.0.0.1","calc_physical_quantities_calc_quantities_t_3d_100","1","7","(32, 4, 2)","(17, 129, 257)","0","9.0","Scheduler Statistics","Eligible Warps Per Scheduler","warp","0.53",
"0","237635","a.out","127.0.0.1","calc_physical_quantities_calc_quantities_t_3d_100","1","7","(32, 4, 2)","(17, 129, 257)","0","9.0","SchedulerStats","","","","IssueSlotUtilization","OPT","Every scheduler is capable of issuing one instruction per cycle, but for this workload each scheduler only issues an instruction every 3.4 cycles. This might leave hardware resources underutilized and may lead to less optimal performance. Out of the maximum of 16 warps per scheduler, this workload allocates an average of 9.46 active warps per scheduler, but only an average of 0.53 warps were eligible per cycle. Eligible warps are the subset of active warps that are ready to issue their next instruction. Every cycle with no eligible warp results in no instruction being issued and the issue slot remains unused. To increase the number of eligible warps, reduce the time the active warps are stalled by inspecting the top stall reasons on the Warp State Statistics and Source Counters sections.","local","22.29"
"0","237635","a.out","127.0.0.1","calc_physical_quantities_calc_quantities_t_3d_100","1","7","(32, 4, 2)","(17, 129, 257)","0","9.0","Warp State Statistics","Warp Cycles Per Issued Instruction","cycle","31.80",
"0","237635","a.out","127.0.0.1","calc_physical_quantities_calc_quantities_t_3d_100","1","7","(32, 4, 2)","(17, 129, 257)","0","9.0","Warp State Statistics","Warp Cycles Per Executed Instruction","cycle","31.80",
"0","237635","a.out","127.0.0.1","calc_physical_quantities_calc_quantities_t_3d_100","1","7","(32, 4, 2)","(17, 129, 257)","0","9.0","Warp State Statistics","Avg. Active Threads Per Warp","","30.95",
"0","237635","a.out","127.0.0.1","calc_physical_quantities_calc_quantities_t_3d_100","1","7","(32, 4, 2)","(17, 129, 257)","0","9.0","Warp State Statistics","Avg. Not Predicated Off Threads Per Warp","","30.41",
"0","237635","a.out","127.0.0.1","calc_physical_quantities_calc_quantities_t_3d_100","1","7","(32, 4, 2)","(17, 129, 257)","0","9.0","WarpStateStats","","","","CPIStall","OPT","On average, each warp of this workload spends 25.9 cycles being stalled waiting for a scoreboard dependency on a L1TEX (local, global, surface, texture) operation. Find the instruction producing the data being waited upon to identify the culprit. To reduce the number of cycles waiting on L1TEX data accesses verify the memory access patterns are optimal for the target architecture, attempt to increase cache hit rates by increasing data locality (coalescing), or by changing the cache configuration. Consider moving frequently used data to shared memory. This stall type represents about 81.5% of the total average of 31.8 cycles between issuing two instructions.","global","22.29"
"0","237635","a.out","127.0.0.1","calc_physical_quantities_calc_quantities_t_3d_100","1","7","(32, 4, 2)","(17, 129, 257)","0","9.0","WarpStateStats","","","","CPIStall","INF","Check the Warp Stall Sampling (All Samples) table for the top stall locations in your source based on sampling data. The Profiling Guide (https://docs.nvidia.com/nsight-compute/ProfilingGuide/index.html#metrics-reference) provides more details on each stall reason.","",""
"0","237635","a.out","127.0.0.1","calc_physical_quantities_calc_quantities_t_3d_100","1","7","(32, 4, 2)","(17, 129, 257)","0","9.0","Instruction Statistics","Avg. Executed Instructions Per Scheduler","inst","1972841.42",
"0","237635","a.out","127.0.0.1","calc_physical_quantities_calc_quantities_t_3d_100","1","7","(32, 4, 2)","(17, 129, 257)","0","9.0","Instruction Statistics","Executed Instructions","inst","1041660270",
"0","237635","a.out","127.0.0.1","calc_physical_quantities_calc_quantities_t_3d_100","1","7","(32, 4, 2)","(17, 129, 257)","0","9.0","Instruction Statistics","Avg. Issued Instructions Per Scheduler","inst","1972922.96",
